财务报表	財務諸表
止损限价单	逆指値(指値)
止损市价单	逆指値(成行)
价格	価格
触发价	トリガー価格
触发时间	トリガー日時
重置	リセット
完成	完了/保存
确认兑换	注文を確定する
滑点	スリッページ
点价交易	板注文
总资产	純資産
交易金额	取引金額
现金账户	現物口座
剩余流动性	流動性余力、保証金余裕額
衍生品账户	デリバティブ口座
可用抵押金额	受入保証金/受入証拠金合計
期权盈亏	オプション損益
持仓市值	建玉評価額
最大购买力	新規建余力→証拠金余力
冻结资金	拘束金
可转移限额	振替余力で下と統一
现金可提	振替余力
初始保证金、必要保证金	必要証拠金
维持保证金	維持証拠金
已实现盈亏	実現損益
未实现盈亏	評価損益
市值	評価額
持仓盈亏	建玉損益
可用数量	建玉残高
多头	買建
空头	売建
买入开仓	新規買
卖出开仓	新規売
买入平仓	返済買
卖出平仓	返済売
成本价	建単価
风险水平	リスクレベル
现价	現在値
最后清算	最終決済
担保	担保
股票担保	株式担保
现金	証拠金現金
在途资产	振替中資産
软边缘保证金	ロスカット
日股期权	日本株オプション
合约张数	枚数
期限	有効期限
损益分析	損益分析
盈亏图、预计构成损益分析	損益図
盈亏平衡点	損益分岐点
股数	株数
最大可下单	注文可能数量
日股衍生品账户	日本株デリバティブ口座
美股衍生品账户	米国株デリバティブ口座
到期、到期日	満期、満期日
正股、担保映射	原資産
正股	株式、銘柄
正股现价	現在値
美式	アメリカン
欧式	ヨーロピアン
行权概率	権利行使確率
IV等级	IVランク
IV百分位数	IVパーセンタイル
财报波动率变化	IVクラッシュ
看涨	コール
看跌	プット
中间价	仲値
Delta	デルタ
Gamma	ガンマ
Theta	セータ
Vega	ベガ
Rho	ロー
杠杆倍数	レバレッジ
有效杠杆	実効レバレッジ
内在价值	真正価値
时间价值	時間的価値
距到期日	残存日数
价内	ITM、イン・ザ・マネー
价内概率	ITM確率
价外	OTM、アウト・オブ・ザ・マネー
平价	ATM、アット・ザ・マネー
引伸波幅、隐含波动率	IV
历史波动率	ヒストリカル・ボラティリティ（HV）
到期日正股EM	EM(予想変動幅)
希腊值	ギリシャ指標
期权理论价格	理論価格
价格计算器	価格計算ツール
持仓MC保证金	マージンコール証拠金
保证金	委託保証金
追缴金额	追加証拠金
追加保证金时限	追証差入期限
波动率溢价	ボラティリティ・プレミアム
持仓量分布	権利行使価格別建玉
期权成交量分布	権利行使価格別出来高
合约规模	サイズ
最大盈利	最大利益
最大亏损	最大損失
盈利	利益
亏损	損失
亏损概率	損失確率
卖盈利概率	利益確率
策略	ストラテジー
现金担保、现金担保看跌	ターゲット・バイイング
看涨期权垂直价差	コールスプレッド
看跌期权垂直价差	プットスプレッド
看涨期权蝶式价差	コールバタフライ
看跌期权蝶式价差	プットバタフライ
股票担保、备兑看涨期权	カバード・コール
保护看跌期权	プロテクティブプット
备兑看跌期权	カバードプット
保护看涨期权	プロテクティブコール
単腿	シングルレッグ
多腿	マルチレッグ
期权链	オプションチェーン
期权异动	大口取引
到期损益	満期損益
当前损益	現在損益、期中損益
期权行权	権利行使
期权指派	権利割当
行权价	行使価格
预期波动	株価変動幅
价格概率	価格確率
冲正	修正
单个期权	コール/プット
Put	プットコールレシオ
期权现金结算费用	オプション現金清算手数料
期权清算费	オプション清算手数料
期权交收费	オプション決済手数料
期权监管费	オプション規制手数料
交易活动费	現地TAF手数料
证监会规费	現地SEC手数料
期权行权买入	オプション権利行使買付
期权行权卖出	オプション権利行使売却
期权指派买入	オプション割当買付
期权指派卖出	オプション割当売却
オプション用語集	期权组合
总盈亏	評価損益額
信用账户最大购买力	信用新規建余力/新規建余力
委托保证金率	委託保証金率
建仓金额合计	建玉合計
可用资金	保証金余裕額
信用账户可振替到现物账户的金额	振替(出金)余力
初始保证金	必要保証金
美股应计费用	米国株諸経費
信用类型	信用区分
信用期限	弁済期限
一般	一般
制度	制度
无期限	無期限
现金买入	現物買い
现金卖出	現物売り
融资买入	信用買い
融券卖出	信用売り
最大可平仓	返済可能数量
抵押品现金	保証金現金
抵押	代用
已抵押数量	担保数量・担保差入数量
未抵押现金	預り金
融资利率	信用取引金利
已担保数量	担保済数量
保证金率	保証金維持率
变量	変数
全局变量	グローバル変数
赋值	割り当て
卡片	ブロック
开始	スタート
回测	バックテスト
运行日志	ログ
属性	プロパティ
初始值	初期値
事件	イベント
跟随比例	市場参加率
道琼斯	NYダウ
纳斯达克	ナスダック
标普500	S&P500
法国CAC	仏CAC40
富时100	英FT100
德国DAX30	独DAX30
意大利MIB	伊FTSE₋MIB
上证指数	上海総合
深证成指	深圳総合
恒生指数	香港ハンセン
新加坡ST	シンガポールST
ASX 200	豪ASX200
马来西亚	クアラルンプール総合
日经225	日経225
台湾50	台湾50
比特币周五	ビットコイン金曜先物
微型玉米	マイクロとうもろこし先物
微型小麦	マイクロ小麦先物
微型大豆	マイクロ大豆先物
微型豆油	マイクロ大豆油先物
微型豆粕	マイクロ大豆ミール
微型日经225指数日元	マイクロ日経225先物
微型日经225指数美元	マイクロ日経225先物(米ドル建て)
Solana	ソラナ先物
微型Solana	マイクロソラナ先物
微型FTSE台指	マイクロSGX FTSE台湾指数先物
黄金期货-日合约	金スポット先物
大阪迷你白金	白金ミニ先物
白金期货-日合约	白金スポット先物
持仓占比	保有割合
持倉日期	取得日
文件來源	開示書類
变动股份	変動株数
变动比例	変動率
持股列表	保有銘柄
持股比例	持株比率
持股变动	保有状況変動
持仓股票数	保有株数
持仓股票数量变化	保有株数変動
建仓	新規
增仓	増加
清仓	全売却
减仓	減少
REIT	REIT
其他	その他資産
股票型	株式型
债券型	債券型
混合型	資産複合型
资产规模	運用資産残高
货币基金	MMF
奖励	特典、賞品、リワード
奖品	賞品
发放	発行、支給
获得	獲得、取得
领取	受領、受け取る
兑换	交換
股票卡	株式カード
收益券	収益券
港股免佣种子	香港株手数料無料シード
港股永久免佣种子	香港株手数料永久無料シード
行情卡	相場カード
佣金券	手数料券
佣金卡	手数料カード
现金券	現金クーポン
股票现金券	キャッシュバック券
体验金券	お試し資金券
申购费卡	IPO申込カード
认购费券	申込クーポン
认购费卡	申込カード
认购额度	申込金額
申购费券	IPO申込券
减息卡	利息カード
减息券	利息券
减息	利息減少
额度券	限度券
基金现金券	投資信託現金券
免佣卡	手数料無料カード
投教高阶权益	投資教育プレミアム
体验金	お試し資金
优惠	優遇
添利	収益増加
激活	有効化
现金申购	現金購入申込
完成任务	ミッションをクリア
到账中	付与中、振込中、支給中
折扣	割引
抵扣	控除
代金	代金
起用金额	最低金額
定期理财型基金	定期型ファンド
今日盈亏	前日比、今日の損益
美元货币基金	外貨建MMF
损益合计	損益合計
累计损益	トータルリターン、通算損益
金叉	ゴールデンクロス
死叉	デッドクロス
均线慢线	長期移動平均
均线快线	短期移動平均
行情权限	情報サービス
高级行情权限	閲覧権限付相場情報
转移股票	株式移管
转入股票	入庫
实盘运行	本番取引
客服	お客様サポート
生效日期	発効日
综合账户	総合口座
盘后时段	アフター・マーケット
盘前时段	プレ・マーケット
最小变动价格	呼値
振幅	振れ幅
委比	気配比
洗钱	マネー・ローンダリング
买卖打点	売買履歴マーク
外汇挂钩票据	為替連動債
账户数	口座開設数
有资产客户数	有残高口座数
拖放工具	ドラッグ＆ドロップツール
结构性票据	仕組債
均价	平均株価
K线总数	ローソク足本数
下跌K线数量	陰線本数
上涨K线数量	陽線本数
总成交额	売買代金
总成交量	出来高
公吨 MT	トン
我的收费	手数料コース
社区规定	掲示板規則
画面来源	画面素材
总收益率	収益率
牛牛号	Futubullアカウント
牛牛	✕Mooer　（使わない）
外币欠款	外貨不足金
VWAP	VWAP(出来高加重平均価格)
社区	掲示板
使用者账号	機関投資家のユーザーアカウント
程序化交易	プログラム売買
取引時間用語	市场状态文案-日语校对
国内股票	国内株式
美国股票	米国株式
期货・期权	先物・オプション（先物OP）
差价合约	CFD
国内股票信用交易	国内株式信用取引
美国股票信用交易	米国株式信用取引
现货交易	現物取引
制度信用交易	制度信用
一般信用交易（无期限）	一般信用（無期限）
一般信用交易（14日）	一般信用（14日）
当日信用交易	いちにち信用
股价指数期货	株価指数先物
日经225期货	日経225先物
日经225迷你期货	日経225ミニ先物
日经225微型期货	日経225マイクロ先物
Growth 250期货	グロース250先物
日经225期权	日経225オプション
日经225迷你期权	日経225ミニオプション
商品期货	商品先物
指数差价合约	指数CFD
商品差价合约	商品CFD
多样化差价合约	バラエティCFD
股票差价合约	株式CFD
私设交易系统	PTS
东京证券交易所	東証
纳斯达克市场	NASDAQ市場
普通订单	通常注文
限价订单	指値注文
市价订单	成行注文
止损订单	逆指値注文
组合订单	セット注文
算法订单	アルゴ注文
冰山订单	アイスバーグ注文
狙击订单	スナイパー注文
预约订单	リザーブ注文
连锁订单	リンク注文
追踪止损订单	トレイリング注文
SOR订单	SOR注文
附带止损的普通订单	逆指値付通常注文
OCO订单	OCO注文
IFD订单	IFD注文
IFD-OCO订单	IFD-OCO注文
快速订单	スピード注文
快捷订单	エクスプレス注文
全部平仓	全決済
现货全部卖出	現物全売却
全部撤单	全取消
执行条件	執行条件
当前交易时段	当セッション
期间指定	期間指定
最后交易日	取引最終日
收盘（尾盘竞价）	引け
收盘	大引け
执行数量条件	執行数量条件
IOC条件	IOC
FAS条件	FAS
FAK条件	FAK
FOK条件	FOK
账户类别	口座区分
特定账户	特定口座
一般账户	一般口座
NISA账户	NISA口座
存管资金	預り金
现货可买金额	現物買付可能額
信用新建仓额度	信用新規建余力
最低维持率	最低維持率
追加保证金	追証（追証ライン）
收入保证金	受入証拠金
必要保证金	必要証拠金
保证金维持率	委託保証金維持率
保证金划转指令	証拠金振替指示
交易所保证金	取引所証拠金
本公司保证金乘数	当社掛け目
代用证券划转	代用振替
NISA可买额度	NISA買付余力
持仓	取組み
买入持仓	買建（買建玉）
卖出持仓	売建（売建玉）
新建买入	新規買い
新建卖出	新規売り
转卖（平多仓）	転売
买回（平空仓）	買戻
现金交割买回	現引
现货交割卖出	現渡
评估损益	評価損益
实现损益	実現損益
平均买入成本价	平均取得単価
市值评估额	時価評価額
建仓单价	建単価
偿还期限	弁済期限
持有标的	保有銘柄
各项费用	諸費用
连续竞价交易时段	ザラバ
盘口信息	板情報（板）
报价	気配（気配値）
最优报价	最良気配
逐笔成交记录	歩み値
成交量	出来高
开盘价	初値
前日收盘价	前日終値
较前日变化	前日比
涨幅	値上り率
年初至今最低价	年初来安値
分价位成交量	価格帯別出来高
行业指数	業種別指数
行权价格	権利行使価格
看涨期权	コール・オプション
看跌期权	プット・オプション
合约月份	限月
周期权	Weeklyオプション
理论价格	理論価格
组合Delta	コンポジットデルタ
Delta缩放系数	デルタスケーリング係数
净持仓	ネットポジション
武藏（板发注功能）	武蔵
期货期权武藏	先物OP武蔵
快速下单	クイック発注
双向持仓模式	両建てモード
强制平仓	ロスカット
标的选择器	銘柄セレクター
技术指标	テクニカル指標
指数平滑移动平均线	指数平滑移動平均線
热力图	ヒートマップ
价格看板	プライスボード
实时入金	リアルタイム入金
资金桥接	マネーブリッジ
准备订单	準備注文
篮子订单	バスケット注文
返济卖（信用买建平仓）	返済売
返济买（信用卖建平仓）	返済買
决济卖（先物买建平仓）	決済売
决济买（先物卖建平仓）	決済買
注文种别	注文種別
有效期间	有効期間
有效期限	有効期限
到达信号	リーチサイン
十档行情	10本気配
全板服务	全板サービス
我的板	マイ板
市场摘要	マーケットサマリー
主要指标	主要指標
信用排名	信用ランキング
行业排名	業種別ランキング
东证33业种	東証33業種
期权排名	OPランキング
注册标的（自选股）	登録銘柄
蜡烛图（K线）	ロウソク足
移动平均线	移動平均線
分析线	分析線
个别图表	個別チャート
相对图表	相対チャート
时间序列数据	時系列データ
图表形状搜索	チャート形状で検索
追加保证金（信用）	追加保証金
追加证据金（先物OP）	追加証拠金
预存资金不足	預り金不足
不足金	不足金
建仓数量上限	建玉数量の上限
保有证券	保有証券
提醒	アラート
成交提醒	約定のアラート
信用持仓损益提醒	信用建玉損益のアラート
股票代码行情条	ティッカーバー
损益渐变	損益グラデーション
我的新闻	マイニュース
高级新闻	プレミアムニュース
场外交易	OTC
虚值期权	アウト・オブ・ザ・マネー（OTM）
主动管理	アクティブ運用
卖价	アスク
资产配置	アセットアロケーション
平价期权	アット・ザ・マネー（ATM）
美式期权	アメリカンタイプオプション
算法交易	アルゴリズム取引
稳定操作交易	安定操作取引
套利	アービトラージ
盘口	板
集合竞价	板合せ
佣金	委託手数料
集合竞价方式	板寄せ方式
跳高	一段高
跳低	一段安
一般行情	一般気配
一般融资融券	一般信用取引
整理	一服
收益收益	インカムゲイン
阴线	陰線
证券转账	インタンクトランスファー
指数	インデックス
指数套利	インデックス売買
隐含波动率	インプライド・ボラティリティ（IV）
实值期权	イン・ザ・マネー（ITM）
收益率曲线	イールド・カーブ
可交割品	受渡供用品
交割结算	受渡決済
交割价格	受渡決済値段
交割条件调整	受渡条件調整
可交割证券	受渡適格銘柄
成交清淡	薄商い
内部成交	内出来
抛售一轮	売り一巡
净卖出	売り越し
卖出未平仓	売残高
空头持仓	売建玉
公开发行（股票）	売出し（株式の）
卖方特别气配	売り特別気配
大盘股	大型株
逢低买入	押し目買い
期权交易	オプション取引
收盘价	終値
超额配售	オーバーアロットメント
买方信心	買い安心
买盘一轮	買い一巡
净买入	買い越し
回购号	回号
未平仓买方头寸	買残高
收购	買占め
买方持仓	買建玉
买卖方特别气配	買い特別気配・売り特別気配
包销	買取引受
价格波动风险	価格変動リスク
价格优先原则	価格優先原則
评级交易（评级表）	格付取引（格付表）
融券提示股票	貸株注意喚起銘柄
融券申报限制股票	貸株申込制限銘柄
加权股价平均	加重株価平均
加权平均收益率	加重平均利回り
虚假交易	仮装売買
股价指数	株価指数
股价指标	株価指標
股票等大量持股披露	株券等の大量保有の状況に関する開示
股票转移	株式移転
首次公开募股（IPO）	株式公開（IPO）
股票互换	株式交換
股票等无纸化转让制度	株式等振替制度
股票转让限制	株式の譲渡制限
股票分布情况调查	株式分布状況調査
股票小额投资制度	株式ミニ投資制度
股票收益率	株式利回り
股票累积投资制度	株式累積投資制度
股东回报	株主還元
股东权益	株主資本
股东资本分红率	株主資本配当率
股东权益比率	株主資本比率
股东名册	株主名簿
股东优待	株主優待
卖空管制	空売り規制
审计意见	監査意見
审计法人	監査法人
清淡	閑散
主承销商	元引受証券会社
间接融资	間接金融
监管股票	監理銘柄
外国债券	外国債
面值股票	額面株式
合并对价	合併交付金
合并利益	合併差益
合并比例	合併比率
本金风险	元本リスク
远月	期先
远月合约交易	期先限月取引
到期日	満期日
基准价格	基準値段
受限股票	規制銘柄
可中期赎回权的认股权债券	期中償還請求権付新株予約権付社債
近月	期近
近月合约交易	期近限月取引
标准交割	基本受渡し
规模分类股价指数	規模別株価指数
市场犹豫	気迷い
现金流	キャッシュフロー
资本收益	キャピタルゲイン
使用期限	供用期限
金融商品交易业者	金融商品取引業者
金融商品交易清算机构	金融商品取引清算機関
金融商品交易法	金融商品取引法
金融行情	金融相場
表决权	議決権
逆向利差	逆鞘
反向操作	逆張り
反向融资费	逆日歩
行业	業種
相互持股	喰い合い
裂纹价差	クラック・スプレッド
仓库收据	倉荷証券
对敲交易	クロス
收盘集合竞价	クロージング・オークション
绿鞋期权	グリーンシューオプション
应计利息	経過利子
清算区域	計算区域
持续经营假设	継続企業の前提
结算风险	決済リスク
业绩快报	決算短信
检验证明书	検査証明書
坚挺	堅調
含权利保管凭证交易	権利預り証付売買
除权	権利落
权利行使配额	権利行使の割当て
权利行使日	権利行使日
权利招标	権利入札
放弃权利	権利放棄
现买	現受け
预定现金支付金额	現金授受予定額
月间价差交易	限月間スプレッド取引
限月现金结算期货交易	限月現金決済先物取引
减资	減資
限日现金结算期货交易	限日現金決済先物取引
现购	現引き
现卖	現渡し
债券现券回购交易	（債券の）現先取引
要约收购	公開買付け（TOB）
公开前规制	公開前規制
可交换债券	交換社債券
小幅波动	小動き
账户设置承诺书	口座設定約諾書
展期价差	更新差金
公开增资	公募増資
小盘股	小型株
国债重新招标方式	国債のリオープン方式
零星交易	小口
故障申报	故障申立
个人持股比率	個人持株比率
小幅上升	小高い
小幅反弹	小反発
小幅下跌	小安い
转换系数	コンバージョン・ファクター
合规	コンプライアンス
协议提前交割	合意早受渡し
合成期货	合成先物
后场	後場
持续经营	ゴーイング・コンサーン
最终报价	最終気配値段
最终结算价	最終清算数値
套利交易	裁定取引
先行者	先駈け
期货交易	先物取引
差价结算	差金決済
抗跌	下げ渋り
下跌受阻	下げ渋る
互换托管	差換預託
收盘价成交或取消订单	指値出来ずば引け成行注文
熔断机制	サーキット・ブレーカー
题材	材料
连续竞价方式	ザラバ方式
剩余期限	残存期間
利好题材	支援材料
指数期权交易	指数オプション取引
指数期货交易	指数先物取引
系统风险	システミックリスク
下压	下押す
庄家	仕手
指定仓库	指定倉庫
庄股	仕手株
证券融借费	品貸料
控股股东信息披露	支配株主等に関する事項
资本成本	資本コスト
证券从业员	証券外務員
证券融资公司	証券金融会社
证券代码	銘柄コード
证券代码协会	証券コード協議会
证券交易监视委员会	証券取引等監視委員会
证券保管和清算机构	証券保管振替機構
保证金基准额	証拠金基準額
商品交易所交易基金	商品ETF
商品期货交易商	商品先物取引業者
商品期货交易法	商品先物取引法
空头/卖空	ショート
空头回补	ショートカバー
新股下跌	新株落
认股权证	新株予約権証券（ワラント）
认股权证执行价格	新株予約権証券（ワラント）の行使価額
认股权证执行价格调整	新株予約権証券（ワラント）の行使価額の調整
认股权证行使比率	新株予約権証券（ワラント）の行使率
附认股权债券	新株予約権付社債
附认股权债券的购回消注	新株予約権付社債の買入消却
附认股权债券的乖离率	新株予約権付社債のかい離率
附认股权债券的应计利息	新株予約権付社債の経過利子
附认股权债券的票面利率	新株予約権付社債の利率
申报交割	申告受渡し
申报分离课税	申告分離課税
新证券代码	新証券コード
辛迪加回补交易	シンジケートカバー取引
新高/新低	新値
新股上市首日	新甫発会日
信用管制	信用規制
融资融券账户设置协议书	信用取引口座設定約諾書
融资融券余额	貸借取引残高
融资融券交易中的客户持仓	信用取引における客向い
信用风险	信用リスク
市场气氛	地合い
市场总值	時価総額
按市价发行	時価発行
时间优先原则	時間優先原則
库存股	自己株式
股东权益报酬率	自己資本当期純利益率
自有资本比率	自己資本比率
自我责任原则	自己責任原則
自营交易	自己売買
员工持股计划	従業員持株制度
重大信息	重要事実（インサイダー取引規制上の）
充用有价证券	充用有価証券
受益凭证	受益証券
供需	需給
正向套利	順鞘
顺势操作	順張り
上行	上伸
缓慢上升	ジリ高
缓慢下跌	ジリ安
股票期权	ストックオプション
涨停板	ストップ高・ストップ安
止损单	ストップロスオーダー
跨式期权	ストラドル
宽跨式期权	ストラングル
价差	スプレッド
价差交易	スプレッド取引
互换	スワップ
正式会员	正会員
限价幅度	制限値幅
结算价格	清算値段
清算机构	清算機関
结算基金	清算基金
清算参与者	清算参加者
结算数值	清算数値
融资融券交易	制度信用取引
融资融券标的	貸借銘柄
整理股票	整理銘柄
先行股	先駆株
潜在股份	潜在株式
上午交易时段	前場
上午收盘	前引け
全面下跌	全面安
操纵股价	相場操縦
即时成交价格幅度	即時約定可能値幅
其他权利除权	その他権利落
继续上升	続伸
继续下跌	続落
融资融券制度	貸借取引制度
大宗持股报告书	大量保有報告書
高价	高値
高位盘整	高値もみあい
场外分售	立会外分売
交易时间	立会時間
交易场所	立会場
单位型基金	単位型投資信託
短期自家股买卖限制	短期自社株売買の規制
整数股制度	単元株制度
零股	端株
简单股价平均指数	単純株価平均
简单平均收益率	単純平均利回り
大宗交易截断	大株締め
第三方配股增资	第三者割当増資
年末收盘	大納会
年初开盘	大発会
担保折扣比例	代用掛目
可用担保证券	代用有価証券
直接上市	ダイレクトリスティング
图表	チャート
中盘股	中型株
中小盘股	中小型株
中低价股	中低位株
订单期限	注文期間
登记价格	帳入値段
尾盘跟风单	ちょうちん
直接融资	直接金融
直接托管	直接預託
直接收益率	直接利回り
开放式基金	追加型投資信託
套利卖出	つなぎ売り
强势整理	強含み
强势盘整	強保合い
最小价格跳动	ティックバリュー
低价股	低位株
交易机会	手掛り
缺乏交易机会	手掛り難
及时披露	適時開示
技术性上市	テクニカル上場
操作手法	手口
谨慎持仓	手控え
可调整转换价格型可转债	転換価額下方又は上方修正型転換社債型新株予約権付社債
可转债简单价格平均	転換社債型新株予約権付社債の単純価格平均
可转债转换价格调整	転換社債型新株予約権付社債の転換価額の調整
对手单	出合い注文
交易	ディーリング
日内交易者	デイ・トレーダー
衍生品	デリバティブ
投资者部门交易统计	投資部門別売買状況
东证指数	東証株価指数
当日清算交易	当日決済取引
特别气配	特別気配
特别清算价格	特別清算数値（SQ値）
特别分配	特別分配金
特别成交	特別約定
跟踪偏差	トラッキングエラー
持仓价值	取組高
交易参与者	取引参加者
交易所场外交易	取引所金融商品市場外取引
虚假申报	馴合い売買
疲软	弱含み
补仓	ナンピン
日经225指数	日経平均株価
日本证券清算机构	JSCC
提货单	荷渡指図書
按市价调整	値洗い
高价股	値がさ株
轧平结算	ネッティング決済
期权净价值总额	ネット・オプション価値の総額
估价率	値付率
对冲	値を消す
年初以来高点	年初来高値
交割日	納会日
涨幅受限	伸び悩み
除息	配当落
含息股价指数	配当込み株価指数
派息比率	配当性向
无担保报价	裸相場
发行价格	発行価格
发行价额	発行価額
发行市场	発行市場
已发行股数	発行済株式数
当日交割交易	発行日決済取引
提前交割	早受渡し
对冲平仓	反対売買
反弹	反発
回落	反落
硬性限制	ハードリミット
中介	媒介
交易周转率	売買回転率
交易监管股票	売買監理銘柄
交易限制措施	売買規制措置
交易单位	売買単位
成交金额周转率	売買代金回転率
交易量	売買高
交易量加权平均价格	売買高加重平均価格（VWAP）
停止交易	売買の停止
篮子交易	バスケット取引
被动管理	パッシブ運用
面值	パー
承销价格	引受価額
承销商信用融资限制	引受人の信用供与制限
交割价差	引直差金
交割限价	引指値
交割成交	引成
非结算参与者	非清算参加者
当日冲销交易	日計り商い
每日公布标的	日々公表銘柄
评估损益率	評価損益率
标准品	標準品
标准物	標準物
按比例分配	比例配分
买价	ビッド
基本面	ファンダメンタルズ
散布谣言	風説の流布
交割失败	フェイル
浮盈	含み益
普通交易	普通取引
不当合并等	不適当な合併等
流通股比率	浮動株比率
房地产投资信托	不動産投資信託証券（REIT)
未成交	不成り
轧空	踏み上げ
不明信息风险警示制度	不明確な情報等に関する注意喚起制度
抢先交易	フロントランニング
簿记建档方式	ブックビルディング方式
布莱克-斯科尔斯模型	ブラック・ショールズ・モデル
权利金	プレミアム
保护性看跌期权	プロテクティブ・プット
平均收益率	平均利回り（株式の）
套期保值交易	ヘッジ取引
变更上市日	変更上場日
基准	ベンチマーク
风险投资	ベンチャーキャピタル
基差	ベーシス
基差交易	ベーシス取引
偿付	ペイオフ
证券保管振替制度	ほふり制度（証券保管振替制度）
箱形整理	ボックス相場
波动率	ボラティリティ
头寸	ポジション
头寸调整	ポジション調整
